gene,median_expression,coef,hr
CPEB1,0.446997240676389,0.1192176625785585,1.126615113553127
SIAH2,6.61104693568032,-0.09358123736653783,0.9106640344731884
NOS2,0.640343282005866,0.5637950163338439,1.7573289537157284
CS,6.57958446131273,0.42770073774618883,1.5337270256756101
NDRG1,5.71802454689579,-0.017181790086583635,0.9829649751036584
PDSS2,4.26129009525939,0.09525883112005572,1.0999435178974573
PIR,3.76692373229222,0.026440533836038824,1.0267931859942079
PARP3,4.86945195711504,-0.17112184382715898,0.842718887121472
DHODH,2.68844895019268,0.2546006110364478,1.289946327651688
GSTZ1,3.40164411806293,-0.3966679045853148,0.672557341758785
ALOX15,0.824564212089827,0.0930597229963175,1.0975272809285281
MAP1LC3A,5.65984751369071,-0.23407655986386225,0.791301231661883
MPC1,5.8470322827676,0.24355516566947003,1.2757766949749179
DPEP1,1.20532994896873,-3.0403005027668677e-05,0.999969597457139
GRIA3,0.571531198413532,0.3303928020084816,1.39151461086104
CHAC1,2.0801118598616,0.31689390491958835,1.3728569108342843
FLT3,1.66507436058275,-0.24040737864043532,0.7863074709424611
MTF1,3.86015831827957,0.13777880005182513,1.1477216462247686
CHMP6,4.51740168727463,-0.19970041747216025,0.8189760672506944
CISD1,4.60050764534579,0.2941859270998027,1.342033400850167
BRD4,4.89133655032953,-0.8544453061147261,0.4255191585066706
IL6,1.18916037103638,0.1476380810332377,1.1590933225840088
HCAR1,4.53301506976297,0.28458272888436476,1.32920727258625
PARP12,4.83583314523089,-0.22894792803177047,0.795369948905504
NR1D1,4.45353733300597,0.05177822170171177,1.0531421525372833
TSC1,3.23598739532543,0.19414472403510047,1.2142720045845679
IFNG,0.438931541934545,-0.32535370880080794,0.7222718345506042
GJA1,7.1302441499124,-0.10005381161072394,0.9047887285870924
SLC7A11,1.42077880661507,0.10414887313155856,1.1097656569068484
